"Folder","FileCount","SizeMB","LastModified"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\plugin\math\mathjax","13","10.23","12/17/2025 3:07:16 PM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.obsidian\plugins\obsidian-excalidraw-plugin","4","8.28","12/30/2025 10:47:09 AM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\plugins\obsidian-excalidraw-plugin","4","8.28","12/30/2025 10:47:09 AM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\plugins\obsidian-excalidraw-plugin","4","8.28","12/30/2025 10:47:09 AM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-excalidraw-plugin","4","8.27","12/19/2025 3:04:02 PM"
"C:\Users\mespindola\Documents\HRM\PERSONNEL RECORD AUDIT PROJECT\.obsidian\plugins\obsidian-excalidraw-plugin","3","8.25","12/19/2025 2:58:01 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\quickadd","4","6.09","12/17/2025 3:06:10 PM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\plugins\make-md","4","5.57","1/2/2026 12:18:13 PM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.obsidian\plugins\make-md","4","5.57","1/2/2026 10:36:04 AM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\plugins\make-md","4","5.57","1/2/2026 11:31:28 AM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\plugins\copilot","4","5.04","1/2/2026 10:33:13 AM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\plugins\copilot","4","5.04","1/2/2026 10:33:13 AM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\copilot","4","5.04","12/29/2025 11:44:32 AM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.obsidian\plugins\copilot","4","5.04","1/2/2026 10:33:13 AM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-markmind","3","3.88","12/17/2025 3:08:12 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\plugin\math\mathjax\sre\mathmaps","7","2.61","12/17/2025 3:07:15 PM"
"C:\Users\mespindola\Documents\HRM\.smart-env\multi","46","2.47","12/29/2025 11:44:47 AM"
"C:\Users\mespindola\Documents\HRM\PERSONNEL RECORD AUDIT PROJECT\.obsidian\plugins\dataview","3","2.27","12/19/2025 2:57:44 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\plugin\mermaid","3","2.07","12/17/2025 3:07:15 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\plugin\highlight","5","1.81","12/17/2025 3:07:15 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\dist\theme\fonts\source-sans-pro","14","1.73","12/17/2025 3:07:15 PM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\plugins\obsidian-day-planner","4","1.5","1/2/2026 12:13:53 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-day-planner","4","1.5","12/29/2025 2:44:35 PM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\plugins\obsidian-day-planner","4","1.5","1/2/2026 12:28:53 PM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.obsidian\plugins\obsidian-day-planner","4","1.5","1/2/2026 11:03:16 AM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides","4","1.37","12/17/2025 3:07:16 PM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\plugins\obsidian-admonition","4","1.27","1/2/2026 10:33:14 AM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.obsidian\plugins\obsidian-admonition","4","1.27","1/2/2026 10:33:14 AM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\plugins\obsidian-admonition","4","1.27","1/2/2026 10:33:14 AM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\dataview","3","1.24","12/17/2025 3:05:17 PM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\plugins\dataview","3","1.24","12/30/2025 10:47:12 AM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.obsidian\plugins\dataview","3","1.24","12/30/2025 10:47:12 AM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\plugins\dataview","3","1.24","12/30/2025 10:47:12 AM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\dist","6","1.19","12/17/2025 3:07:15 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\dist\fontawesome","1","1.14","12/17/2025 3:07:16 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\distlib","19","1.09","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\rich\__pycache__","77","1.07","1/8/2026 1:42:33 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\plugin\math\mathjax\output\svg\fonts","1","1.02","12/17/2025 3:07:16 PM"
"C:\Users\mespindola\Documents\HRM\PERSONNEL RECORD AUDIT PROJECT\.obsidian\plugins\obsidian-kanban","3","1","12/19/2025 2:57:48 PM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.obsidian\plugins\obsidian-kanban","3","1","12/30/2025 10:47:39 AM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-kanban","3","1","12/17/2025 3:05:46 PM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\plugins\obsidian-kanban","3","1","12/30/2025 10:47:39 AM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\plugins\obsidian-kanban","3","1","12/30/2025 10:47:39 AM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\plugins\obsidian-mind-map","2","0.97","12/30/2025 10:49:05 AM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\plugins\obsidian-mind-map","2","0.97","12/30/2025 10:49:05 AM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.obsidian\plugins\obsidian-mind-map","2","0.97","12/30/2025 10:49:05 AM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-mind-map","2","0.97","12/17/2025 3:07:30 PM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\plugins\smart-connections","3","0.9","12/30/2025 10:48:58 AM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.obsidian\plugins\smart-connections","3","0.9","12/30/2025 10:48:58 AM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\plugins\smart-connections","3","0.9","12/30/2025 10:48:58 AM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\smart-connections","4","0.87","12/17/2025 3:07:36 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\rich","78","0.86","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Scripts","9","0.84","1/8/2026 1:42:37 PM"
"C:\Users\mespindola\Documents\HRM","7","0.8","12/22/2025 4:35:51 PM"
"C:\Users\mespindola\Documents\HRM\PERSONNEL RECORD AUDIT PROJECT\.obsidian\plugins\obsidian-tasks-plugin","3","0.79","12/19/2025 2:58:06 PM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\plugins\obsidian-tasks-plugin","3","0.79","12/30/2025 10:47:20 AM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\plugins\obsidian-tasks-plugin","3","0.79","12/30/2025 10:47:20 AM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.obsidian\plugins\obsidian-tasks-plugin","3","0.79","12/30/2025 10:47:20 AM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-tasks-plugin","3","0.79","12/17/2025 3:05:28 PM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.obsidian\plugins\obsidian-git","3","0.76","12/30/2025 10:47:43 AM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-git","3","0.76","12/17/2025 3:05:50 PM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\plugins\obsidian-git","3","0.76","12/30/2025 10:47:43 AM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\plugins\obsidian-git","3","0.76","12/30/2025 10:47:43 AM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\plugin\math\mathjax\input","5","0.71","12/17/2025 3:07:15 PM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\plugins\editing-toolbar","4","0.65","1/2/2026 10:33:11 AM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\plugins\editing-toolbar","4","0.65","1/2/2026 10:33:11 AM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.obsidian\plugins\editing-toolbar","4","0.65","1/2/2026 10:33:11 AM"
"C:\Users\mespindola\Desktop\SEI_Executive_Package","32","0.64","1/12/2026 11:11:02 AM"
"C:\Users\mespindola\Documents\SCRIPTS","32","0.64","1/12/2026 11:11:02 AM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\plugins\obsidian-importer","3","0.63","12/30/2025 10:48:18 AM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.obsidian\plugins\obsidian-importer","3","0.63","12/30/2025 10:48:18 AM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\plugins\obsidian-importer","3","0.63","12/30/2025 10:48:18 AM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\distlib\__pycache__","13","0.45","1/8/2026 1:42:26 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\plugin\math\mathjax\sre","2","0.45","12/17/2025 3:07:15 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\plugin\math\mathjax\input\tex\extensions","33","0.43","12/17/2025 3:07:15 PM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\plugins\obsidian-icon-folder","4","0.4","1/2/2026 10:33:10 AM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\plugins\obsidian-icon-folder","4","0.4","1/2/2026 10:33:10 AM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.obsidian\plugins\obsidian-icon-folder","4","0.4","1/2/2026 10:33:10 AM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-icon-folder","4","0.4","12/29/2025 11:44:28 AM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\plugin\math\mathjax\output","2","0.39","12/17/2025 3:07:15 PM"
"C:\Users\mespindola\Documents\HRM\PERSONNEL RECORD AUDIT PROJECT\.obsidian\plugins\obsidian-charts","3","0.36","12/19/2025 2:57:50 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\advanced-canvas","3","0.36","12/17/2025 3:08:40 PM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\plugins\templater-obsidian","3","0.33","12/30/2025 10:47:15 AM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\plugins\templater-obsidian","3","0.33","12/30/2025 10:47:15 AM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.obsidian\plugins\templater-obsidian","3","0.33","12/30/2025 10:47:15 AM"
"C:\Users\mespindola\Documents\HRM\PERSONNEL RECORD AUDIT PROJECT\.obsidian\plugins\templater-obsidian","3","0.33","12/19/2025 2:57:46 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\templater-obsidian","3","0.33","12/17/2025 3:05:23 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\plugin\math\mathjax\output\chtml\fonts\woff-v2","23","0.33","12/17/2025 3:07:15 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\idna","9","0.29","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\certifi","5","0.28","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\idna\__pycache__","8","0.27","1/8/2026 1:42:27 PM"
"C:\Users\mespindola\Desktop\SEI_KPI_Executive_Presentation","3","0.27","1/12/2026 12:08:54 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\table-editor-obsidian","4","0.26","12/29/2025 11:44:26 AM"
"C:\Users\mespindola\Documents\HRM\PERSONNEL RECORD AUDIT PROJECT\.obsidian\plugins\table-editor-obsidian","3","0.26","12/19/2025 2:58:03 PM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\plugins\table-editor-obsidian","4","0.26","1/2/2026 10:33:08 AM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.obsidian\plugins\table-editor-obsidian","4","0.26","1/2/2026 10:33:08 AM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\plugins\table-editor-obsidian","4","0.26","1/2/2026 10:33:08 AM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\dist\theme","13","0.24","12/17/2025 3:07:15 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\plugin\notes","4","0.23","12/17/2025 3:07:15 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\plugin\math\mathjax\input\mml\extensions","2","0.21","12/17/2025 3:07:14 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\requests\__pycache__","18","0.2","1/8/2026 1:42:30 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\plugin\chart","3","0.2","12/17/2025 3:07:15 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\plugin\markdown","3","0.19","12/17/2025 3:07:15 PM"
"C:\Users\mespindola\Documents\HRM\PERSONNEL RECORD AUDIT PROJECT\.obsidian\plugins\obsidian-buttons","3","0.19","12/19/2025 2:58:04 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\requests","18","0.18","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\css","3","0.17","12/17/2025 3:07:15 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\pygments","16","0.17","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.obsidian\plugins\highlightr-plugin","3","0.16","12/30/2025 10:49:37 AM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\pygments\__pycache__","16","0.16","1/8/2026 1:42:29 PM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\plugins\highlightr-plugin","3","0.16","12/30/2025 10:49:37 AM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\packaging\__pycache__","14","0.16","1/8/2026 1:42:27 PM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.obsidian\plugins\obsidian-style-settings","3","0.16","12/30/2025 10:47:48 AM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\plugins\obsidian-style-settings","3","0.16","12/30/2025 10:47:48 AM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\urllib3\__pycache__","11","0.16","1/8/2026 1:42:34 PM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\plugins\highlightr-plugin","3","0.16","12/30/2025 10:49:37 AM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\__pycache__","14","0.16","1/8/2026 1:42:29 PM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\plugins\obsidian-style-settings","3","0.16","12/30/2025 10:47:48 AM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal\utils\__pycache__","27","0.15","1/8/2026 1:42:25 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\packaging","15","0.15","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\pkg_resources\__pycache__","1","0.15","1/8/2026 1:42:27 PM"
"C:\Users\mespindola\Desktop\SEI_Protected_Leave_Report","2","0.14","1/12/2026 5:08:12 PM"
