"Folder","FileCount","SizeMB","LastModified"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\pygments\lexers","3","0.14","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\plugins\calendar","3","0.14","1/2/2026 10:33:08 AM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\calendar","3","0.14","12/29/2025 11:44:26 AM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\urllib3","11","0.14","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\__pycache__","2","0.14","1/8/2026 1:42:34 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\pygments\formatters","14","0.14","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.obsidian\plugins\calendar","3","0.14","1/2/2026 10:33:08 AM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\plugins\calendar","3","0.14","1/2/2026 10:33:08 AM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal\commands\__pycache__","18","0.14","1/8/2026 1:42:21 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\plugin\chalkboard","5","0.13","12/17/2025 3:07:15 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor","3","0.13","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\plugin\menu","10","0.13","12/17/2025 3:07:14 PM"
"C:\Users\mespindola\Desktop\SEI_KPI_Executive_Presentation\charts","4","0.13","1/12/2026 12:05:54 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\plugin\chalkboard\img","17","0.12","12/17/2025 3:07:15 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\__pycache__","3","0.12","1/8/2026 1:42:29 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\dist\theme\fonts\lato","1","0.12","12/17/2025 3:07:15 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal\req\__pycache__","6","0.12","1/8/2026 1:42:23 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-outliner","3","0.12","12/17/2025 3:06:19 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\pkg_resources","1","0.12","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal\utils","27","0.12","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal\commands","18","0.11","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\__pycache__","9","0.11","1/8/2026 1:42:24 PM"
"C:\Users\mespindola\Desktop\SEI_Protected_Leave_Report\charts","3","0.11","1/12/2026 5:08:12 PM"
"C:\Users\mespindola\Documents\PowerShell\Modules\Microsoft.PowerToys.Configure\0.96.1.0","2","0.11","11/24/2025 4:27:08 AM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal\__pycache__","9","0.11","1/8/2026 1:42:25 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\plugin\math\mathjax\ui","3","0.1","12/17/2025 3:07:15 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal\cli\__pycache__","13","0.1","1/8/2026 1:42:21 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\urllib3\util\__pycache__","13","0.1","1/8/2026 1:42:35 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal\req","6","0.1","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\plugin\math\mathjax\output\chtml\fonts","1","0.1","12/17/2025 3:07:15 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal\cli","13","0.09","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib","9","0.09","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\urllib3\util","13","0.09","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal","9","0.08","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.makemd","2","0.08","1/2/2026 10:33:33 AM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.makemd","2","0.08","1/2/2026 12:17:44 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\platformdirs\__pycache__","8","0.08","1/8/2026 1:42:28 PM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.makemd","2","0.08","1/2/2026 11:03:42 AM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\__pycache__","7","0.08","1/8/2026 1:42:34 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip-24.2.dist-info","9","0.08","1/8/2026 1:42:37 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal\network\__pycache__","8","0.07","1/8/2026 1:42:23 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal\vcs\__pycache__","6","0.07","1/8/2026 1:42:25 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib","7","0.07","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\plugin\math","6","0.07","12/17/2025 3:07:15 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\platformdirs","9","0.07","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal\index\__pycache__","4","0.07","1/8/2026 1:42:22 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal\vcs","6","0.06","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal\metadata\__pycache__","4","0.06","1/8/2026 1:42:22 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal\models\__pycache__","12","0.06","1/8/2026 1:42:23 PM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\themes\Things","2","0.06","12/30/2025 10:52:44 AM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.obsidian\themes\Things","2","0.06","12/30/2025 10:52:44 AM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal\index","4","0.06","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\plugin\math\mathjax\a11y","4","0.06","12/17/2025 3:07:14 PM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\themes\Things","2","0.06","12/30/2025 10:52:44 AM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal\network","8","0.06","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\truststore","7","0.05","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\msgpack\__pycache__","4","0.05","1/8/2026 1:42:27 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal\models","12","0.05","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\distro\__pycache__","3","0.05","1/8/2026 1:42:26 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\truststore\__pycache__","6","0.05","1/8/2026 1:42:34 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\distro","4","0.05","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\cachecontrol\__pycache__","9","0.05","1/8/2026 1:42:25 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\recent-files-obsidian","4","0.05","12/29/2025 11:44:37 AM"
"C:\Users\mespindola\Desktop\SEI_KPI_Executive_Report","5","0.05","1/12/2026 11:44:22 AM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal\metadata","4","0.04","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\plugin\search","3","0.04","12/17/2025 3:07:15 PM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\themes\GitHub Theme","2","0.04","12/30/2025 10:53:28 AM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.obsidian\themes\GitHub Theme","2","0.04","12/30/2025 10:53:28 AM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\themes\GitHub Theme","2","0.04","12/30/2025 10:53:28 AM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal\operations","4","0.04","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\resolvelib\__pycache__","5","0.04","1/8/2026 1:42:30 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal\operations\__pycache__","4","0.04","1/8/2026 1:42:23 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\msgpack","4","0.04","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\urllib3\packages\__pycache__","2","0.04","1/8/2026 1:42:34 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\pygments\filters\__pycache__","1","0.04","1/8/2026 1:42:28 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\pygments\filters","1","0.04","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\cachecontrol","10","0.04","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\tomli\__pycache__","4","0.03","1/8/2026 1:42:33 PM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\10-ADMINISTRATIVE-SUPPORT\HR-101-Training\Day-1-Confidentiality-Training","2","0.03","12/29/2025 3:29:35 PM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.obsidian\themes\Obsidianite","2","0.03","12/30/2025 10:53:12 AM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\10-ADMINISTRATIVE-SUPPORT\HR-101-Training","3","0.03","12/29/2025 3:10:39 PM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\themes\Obsidianite","2","0.03","12/30/2025 10:53:12 AM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal\operations\install\__pycache__","3","0.03","1/8/2026 1:42:23 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\resolvelib","6","0.03","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.obsidian\plugins\homepage","3","0.03","12/30/2025 10:48:33 AM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260108_143412\07-PROJECT CHARTER","1","0.03","1/8/2026 9:39:29 AM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\tomli","5","0.03","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal\locations","4","0.03","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\10-ADMINISTRATIVE-SUPPORT\HR-101-Training","3","0.03","12/29/2025 3:10:39 PM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\10-ADMINISTRATIVE-SUPPORT\HR-101-Training","3","0.03","12/29/2025 3:10:39 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_securetransport","3","0.03","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\urllib3\packages","2","0.03","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal\locations\__pycache__","4","0.03","1/8/2026 1:42:22 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_securetransport\__pycache__","3","0.03","1/8/2026 1:42:34 PM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\10-ADMINISTRATIVE-SUPPORT\HR-101-Training\Day-1-Confidentiality-Training","2","0.03","12/29/2025 3:29:35 PM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\10-ADMINISTRATIVE-SUPPORT\HR-101-Training\Day-1-Confidentiality-Training","2","0.03","12/29/2025 3:29:35 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\dist\theme\fonts\league-gothic","1","0.03","12/17/2025 3:07:15 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal\metadata\importlib\__pycache__","4","0.03","1/8/2026 1:42:22 PM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\themes\Obsidianite","2","0.03","12/30/2025 10:53:12 AM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal\operations\install","3","0.03","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\plugins\homepage","3","0.03","12/30/2025 10:48:33 AM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\plugin\math\mathjax\input\mml","1","0.03","12/17/2025 3:07:14 PM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\plugins\homepage","3","0.03","12/30/2025 10:48:33 AM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\plugin\math\mathjax\adaptors","1","0.02","12/17/2025 3:07:14 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal\distributions\__pycache__","5","0.02","1/8/2026 1:42:22 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal\metadata\importlib","4","0.02","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\10-ADMINISTRATIVE-SUPPORT\HR-101-Training\Forms-and-Certificates","4","0.02","12/29/2025 3:30:20 PM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\10-ADMINISTRATIVE-SUPPORT\HR-101-Training\Forms-and-Certificates","4","0.02","12/29/2025 3:30:20 PM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\10-ADMINISTRATIVE-SUPPORT\HR-101-Training\Forms-and-Certificates","4","0.02","12/29/2025 3:30:20 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal\resolution\legacy","2","0.02","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal\operations\build\__pycache__","8","0.02","1/8/2026 1:42:23 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal\resolution\legacy\__pycache__","2","0.02","1/8/2026 1:42:24 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal\operations\build","8","0.01","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\00-DASHBOARD","3","0.01","12/29/2025 2:39:48 PM"
